# 欽定詞譜 (1715), one row per 格 (metrical pattern) of one 詞牌 (tune title).
# THE TRADITION'S OWN SPEC. Doctrine 62: the primary source states the rule you
# were about to invent, and here it states the one thing a text can never
# supply -- WHICH line ends the tune mandates as rhymes and which it does not.
# Without it a ci rhyme measurement has to infer its own ground truth from the
# characters it is scoring, which is doctrine 13's circularity in one step.
#
# SOURCE  hulbji/couyun, MIT (LICENSE at repo root, covers the repository),
#         couyun/ci_pu/ci_list/cipai_*.json -- 817 per-詞牌 files transcribed
#         from the 欽定詞譜. Reached by `git clone https://github.com/hulbji/
#         couyun` (data/CHANNELS.md). The 欽定詞譜 itself is a 1715 imperial
#         compilation: a millennium-adjacent work three centuries out of any
#         term (doctrine 40, the outer layer is MIT and the inner layer is
#         expired).
#
# COLUMNS
#   tune      the 詞牌, in traditional characters
#   aliases   other names the 詞譜 gives the same tune, '|' separated
#   chars     total characters in the 格
#   groups    the rhyme groups: positions '.' separated within a group, groups
#             '/' separated. Positions are 0-based indices into the poem's
#             character sequence with all punctuation stripped. TWO POSITIONS
#             RHYME IFF THEY ARE IN THE SAME GROUP.
#   ju        line ends the spec marks 句 -- it mandates NO rhyme there. This
#             column is what makes a matched control possible at all.
#   du        讀 positions: a phrase break INSIDE a line, not a line end.
#   template  the 平仄 template, 中 where the tune leaves the tone free.
#
# HOW groups WAS BUILT, and why not from the source's own `yun_classify`.
# `yun_classify` is not a spec statement: on 菩薩蠻 格三 it places positions
# 6/13 in the same group as 18/23, and 菩薩蠻 changes rhyme between them --
# 雪 does not rhyme 眉. The groups here are read from what the notation prints:
# a new group at every 换 marker, and at every change in the register the
# template mandates at consecutive rhyme positions. That declines to assert a
# 平仄通叶 relation anywhere, which is the conservative direction: it can only
# split a real group, never merge two.
#
# THE MARKER GRAMMAR IS LOCALLY AMBIGUOUS and the parse is constrained, not
# guessed. 平 and 仄 are both template symbols and rhyme-marker prefixes
# (平韵, 仄韵, 换平韵, 换仄韵), so `中仄中平仄韵` is five template positions plus
# 韵 or four plus 仄韵. The parse is a search required to satisfy the source's
# own two invariants at once -- the template length must equal `ge_lyu_str`
# and the 韻 positions must equal `rhyme_pos`. 8 of 2,294 格 admit no such
# parse and are REFUSED rather than resolved by a tie-break (doctrine 66).
# Reading every 平/仄 as template instead -- the obvious first pass -- drops
# every 換韻 tune including 菩薩蠻's canonical 格, and drops them SILENTLY,
# because a mis-parse fails the invariant and looks like an unparsable file.
tune	aliases	chars	groups	ju	du	template
荷葉杯		23	5.7/10/17.19/22			仄仄仄平平仄平仄仄平平仄平平仄仄平仄平仄仄平平
荷葉杯		26	5.7/12.19.22.25			中仄中平中仄中仄中仄仄平平中平中仄仄平平平仄平平仄平
荷葉杯		50	5.7/12.19.24/30.32/37.44.49			仄仄中平平仄平仄平仄仄平平中平平仄仄平平中仄仄平平中仄仄平平仄平仄中仄仄平平中平平仄仄平平平仄仄平平
回波樂		24	5.11.23	17		平平仄平中平平中仄仄平平中中仄平中仄平中仄仄平平
回波樂		24	5.11.23	17		平平仄平仄仄仄仄仄仄仄仄仄平仄仄平平仄仄平平仄仄
舞馬詞		24	5.11.23	17		仄平仄仄平平平平仄仄平平仄仄平平仄仄平平仄仄平平
舞馬詞		24	11.23	5.17		平仄平平仄仄仄平仄仄平平平仄仄平平仄平平仄仄平平
三臺		24	11.23	5.17		平仄平平仄仄仄平仄仄平平平仄平平仄仄仄平平仄平平
三臺		24	5.11.23	17		仄平平仄平平仄仄平仄平平平平仄平仄仄仄平仄仄平平
柘枝引		24	6.11.23	16		平平仄仄仄平平仄仄仄平平平仄平平仄平平仄仄仄平平
塞姑		24	5.11.23	17		仄仄平平仄仄仄仄平平仄仄平仄平平仄平仄仄平平平仄
晴偏好		24	6.13.16.23			平平平仄平平仄平平仄仄平平仄平平仄平平仄仄平平仄
憑闌人		24	6.13.18.23			中仄平平中仄平平仄平平平仄平平平中仄平仄平平仄平
憑闌人		25	6/13/18.24	21		仄仄平平平仄平平仄平平平仄仄平平仄仄平仄平平平仄平
花非花		26	5.11.25	2.8.18		平平平仄平仄仄仄平平平仄平平平仄仄平平仄仄平平平仄仄
摘得新		26	2.7.15.25	12.22		仄仄平平平仄仄平仄平平仄仄仄平平平平中仄中中仄仄平平
梧葉兒		26	5.10.16.19/25	2.13		平平仄平仄平中仄仄平平平平仄中仄平仄平平平仄平平仄仄
梧葉兒		27	5.10.16.19.26	2.13	22	平平仄平仄平仄仄仄平平平平仄平仄平仄平平仄仄平平平仄平
梧葉兒		32	5.10.20.25.31	2.15		平平仄仄仄平平仄仄平平中中平平仄平平仄仄平中仄仄平平仄仄平平仄平
梧葉兒		33	5.10.20.25.32	2.15	28	平平仄仄仄平平仄仄平平平平平平仄平平仄仄平仄仄仄平平仄仄仄平平仄平
梧葉兒		37	9.14.24.29/36	4.19	32	平仄平平仄平平仄仄平平仄仄平平仄仄平平仄平平仄仄平仄仄仄平平平仄仄平平仄仄
漁歌子	漁父|漁父樂	27	6.13.19.26	16		中中中中仄中平中中平中仄中平中中仄仄平平中中中中仄中平
漁歌子	漁父|漁父樂	27	6.13.19.26	16		平平仄仄仄平平平仄平平仄仄平平仄仄仄平平仄仄平平仄仄平
漁歌子	漁父|漁父樂	27	13.19.26	6.16		仄仄仄平平仄仄平仄平平仄仄平仄平仄仄平平仄仄平平仄仄平
漁歌子	漁父|漁父樂	25	5.11.24	2.18		平仄仄平平仄平仄仄平平仄仄平平仄仄平平仄仄仄平平仄
漁歌子	漁父|漁父樂	50	5.12.18.24.30.37.43.49	2.15.27.40		仄平平平中仄中平中仄平中仄中中中中中仄中仄中平中仄仄中平平仄仄中平中仄平平仄中中中中中仄中仄中平中仄
漁歌子	漁父|漁父樂	50	5.12.24.30.37.49	2.15.18.27.40.43		仄平平平仄仄仄平仄仄平平仄平仄仄仄平平仄仄平平平仄仄仄平平仄仄仄平仄仄平平仄平仄仄仄平平仄仄平平平仄
憶江南	江南好|望江南	27	7.21.26	2.14		平中仄中仄仄平平中仄中平平仄仄中平平仄仄平平平仄仄平平
憶江南	江南好|望江南	54	7.21.26.34.48.53	2.14.29.41		平平仄平仄仄平平平仄平平平仄仄平平平仄仄平平平仄仄平平平仄仄仄仄仄平平平仄平平平仄仄仄平平仄仄平平平仄仄平平
憶江南	江南好|望江南	59	6.14/21.28/35.44/51.58	10.39		仄仄平平平仄仄仄仄平平仄平平仄仄平平仄仄平平仄平平仄仄平平平平平仄平平仄仄仄平平仄仄平平仄平平平仄仄平平平平仄仄仄平平
瀟湘神		27	2.5.12.26	19		平仄平平仄平仄平中仄仄平平仄仄仄平平仄仄平平平仄仄平平
章臺柳		27	2.5.12.26	19		平中仄平平仄仄仄平平中中仄仄仄平平仄仄平仄中平中中平仄
章臺柳		27	5.12.26	2.19		平仄平平平仄仄仄平平仄平仄仄仄平平仄仄平仄仄平平仄平仄
解紅		27	5.12.26	2.19		仄仄仄仄平平仄平仄仄平仄平仄仄平平仄平仄仄平仄仄仄平平
赤棗子		27	5.12.26	2.19		中仄仄仄平平中平平仄仄平平中仄仄平平仄仄中平中仄仄平平
南鄉子		27	3.10/17.19.26			仄仄平平中中中中仄中平中仄中平平中仄平仄中仄中平中仄仄
南鄉子		28	3.10/17.20.27			仄仄平平平平仄仄仄平平仄仄平平平仄仄平平仄仄仄平平平仄仄
南鄉子		28	4.11/18.20.27			仄仄仄平平平仄平平仄仄平平仄仄平平仄仄平仄仄仄平平平仄仄
南鄉子		30	5.12/19.22.29	2		中中仄仄平平仄平平仄仄平平中中平中平中仄中中仄中仄仄平中仄仄
南鄉子		54	3.10.19.26.30.37.46.53	17.44		仄仄平平仄仄平平仄仄平仄仄平平平仄仄平平仄仄平平仄仄平仄仄平平仄仄平平仄仄平平仄仄平平仄仄平平平仄平平仄仄平
南鄉子		56	4.11.20.27.32.39.48.55	18.46		仄仄仄平平平仄平平仄仄平平仄仄平平仄仄平平平仄平平仄仄平平仄仄平平仄仄平平仄仄平仄仄仄平平仄仄平平仄仄平平仄仄平
南鄉子		56	4.11.20.27.32.39.48.55	15.43		平仄仄平平平仄平平仄仄平平仄平平平仄仄平平仄仄平平仄仄平平仄仄平平仄仄平平仄仄平仄仄仄平平仄仄平平仄仄平平仄仄平
南鄉子		58	4.11.21.28.33.40.50.57	15.19.44.48		平仄仄平平平仄平平仄仄平平仄仄平平平仄仄平平仄仄平平仄仄平仄仄仄平平仄仄平平仄仄平仄仄仄平平平仄仄平平平仄平平仄仄平
南鄉子		58	4.12.21.28.33.41.50.57	8.19.37.48		仄仄仄平平平平仄仄平仄平平仄仄平平平仄仄平平仄仄平平仄仄平平仄仄平平平平仄仄仄仄平平平仄仄平平仄仄平平仄仄平平仄仄平
搗練子		27	5.12.26	2.19		中仄仄仄平平中仄平平中仄平中仄中平平仄仄仄平中仄仄平平
搗練子		38	5.12.18.24.31.37	2.15.21.34		平仄仄仄平平中平中仄仄平平仄平平中仄平平中仄仄平平中平仄仄仄平平仄平中中中平
春曉曲		27	6.12.26	19		平平仄仄平平仄仄仄平平仄仄仄平中仄仄平平仄仄仄平平仄仄
春曉曲		27	6.12.26	9.19		平平仄仄平平仄仄平平平仄仄仄平平仄仄平平仄仄平平平仄仄
桂殿秋		27	5.12.26	2.19		平仄仄仄中平中中仄中中中平平平仄仄平平仄仄仄平平仄仄平
壽陽曲		27	5/12.19.26	2	8.22	平平仄中仄平仄平平仄平平仄平平仄平平仄仄中中中仄平平仄
壽陽曲		28	5.12.20.27	2	8.15.23	平平仄仄仄仄仄平平仄平平仄仄平平仄平平仄仄仄平平仄平平仄
壽陽曲		32	9/16.24.31	4	12.19.27	仄仄平平仄仄平平仄平仄平平仄平平仄仄平平仄平平仄仄平仄仄仄平平仄
陽關曲		28	6.13.27	20		仄平平仄仄平平中仄平平仄仄平仄平仄仄仄平仄平仄平平平仄平
欸乃曲		28	6.13.27	20		平仄平平平仄平平平平仄仄平平平平仄仄仄平仄仄仄平平平仄平
浪淘沙		28	6.13.27	20		平平仄仄仄平平平仄平平仄仄平仄仄平平平仄仄平平仄仄仄平平
楊柳枝		28	6.13.27	20		平仄平平仄仄平仄平平仄仄平平仄平仄仄平平仄仄仄平平仄仄平
八拍蠻		28	6.13.27	20		中仄仄平平仄平中平平仄仄平平中仄中平平仄仄平平中仄仄平平
八拍蠻		28	13.27	6.20		平仄仄平平仄仄平平平仄仄平平平仄仄平平仄仄平平仄仄仄平平
字字雙		28	6.13.20.27			平平仄平平仄平仄仄平平平仄平平平平仄平仄平仄平仄仄平仄平
十樣花		28	5.11.22.27	16.19		仄仄平平平仄中仄中平平仄仄仄中平中平中仄仄平仄仄平平仄仄
十樣花		28	5.11.19.22.27	16		仄仄平平平仄平仄仄平平仄仄仄仄平平平仄仄仄平仄仄平平仄仄
天淨沙		28	5.11.17/21/27			中中中仄平平仄平平仄平平仄仄平平仄平中平中仄仄平平仄平平
天淨沙		28	5.11/17.21/27			中中仄仄平平仄平平仄平平仄仄平平仄仄中平中仄仄平平仄平平
甘州曲		29	2.8.15.20.28	5	23	仄平平平仄仄仄平平仄平平仄仄平平仄仄仄平平仄仄仄平仄仄平平
甘州曲		33	6.12.19.24.32	9	27	中平平仄仄平平平仄仄仄平平仄平中仄仄平平中仄仄平平平仄仄中仄仄平平
醉吟商		29	9.13.18.24.28	3		仄仄平平仄仄仄平平仄仄平平仄仄仄平平仄仄仄平平平仄平平仄仄
乾荷葉		29	5/10/13.16.23/28	2		平平仄仄平平仄仄平平仄仄平平仄平平平平仄仄仄平平仄仄平平仄
乾荷葉		30	5/10/13.16.23/29	2	26	平平仄仄平平仄仄平平仄仄平平仄平平仄平平仄仄平平平仄仄平平仄
喜春來		29	6/13.20.23.28			中平中仄平平仄中仄平平仄仄平中平中仄仄平平中仄平中仄仄平平
喜春來		29	6/13.20/23/28			平平仄仄平平仄仄仄平平仄仄平仄平仄仄仄平平平仄仄平仄仄平平
喜春來		30	6/13.20/23/29	26		仄平仄仄平平仄平仄平平仄仄平仄平平仄仄平平平仄仄平仄仄仄平平
喜春來		31	6/13.22.25.30	16.19		仄平仄仄平平仄平仄平平仄仄平仄平平平仄仄仄平平平仄平平仄仄平平
踏歌詞		30	9.19.24.29	4.14		中仄平平仄平平仄仄平平平平仄仄中仄仄平平平仄仄平平仄仄仄平平
秋風清		30	2.5.15.29	10.22		平平平平仄平仄仄仄平仄平平平仄平平平平仄平平仄仄平仄仄平平平
秋風清		30	5.15.29	2.10.22		平仄仄仄平平平平平仄仄平仄仄平平平平平仄平平仄平仄平平平仄平
秋風清		30	2.5.15.29	10.22		平平仄平平仄仄平仄仄平平仄平平仄平仄平平仄仄平仄平平仄平平仄
拋毬樂		30	4.9.19.29	14.24		中仄中平平平平仄仄平仄平平仄仄中仄仄平平仄仄平平仄中平中仄平
拋毬樂		33	9.12.22.32	4.17.27		平仄平平仄平平仄仄平仄仄平仄平平仄仄平仄仄平平仄仄平平仄平平仄仄平
拋毬樂		40	6.13.27.39	20.32		中仄平平中仄平中平平仄仄平平中平中仄中平仄中仄中平中仄平中仄平平仄中仄平平中仄平
拋毬樂		187	9.24.38.53.70.83.96.110.122.132.147.164.177.186	5.16.20.31.44.48.58.62.66.75.88.92.102.113.116.126.136.140.152.158.169.182	12.27.34.78.105.172	仄平平仄平仄平仄平仄仄平平平仄仄仄平仄平平仄平平仄仄仄仄平仄平平仄仄仄平平平仄仄仄仄仄平平仄仄平平平仄平平仄仄仄平平仄平平仄仄仄平平仄平平仄仄仄仄仄平平仄仄仄平平平平仄仄平平平仄平仄仄平仄平仄仄仄仄平仄平平仄平仄仄仄平平仄仄平平平仄仄仄仄平平仄仄仄平仄仄平仄平平平仄仄平仄仄仄平仄仄仄仄平仄平平仄仄仄平仄仄平平仄仄仄平仄仄平平仄仄平仄仄平平仄仄仄仄仄平平仄仄仄仄仄平仄平平仄
法駕導引		30	10.24.29	2.5.17		平中仄平中仄中仄仄平平中仄中平平仄仄中平平仄仄平平平仄仄平平
蕃女怨		31	6.10.16.20/27.30	13		仄平平仄平仄仄中仄平仄仄平平平仄仄中平平仄仄平平仄仄平平仄平平
一葉落		31	2.5.12.22.25.30	17		仄仄仄平平仄仄平仄仄仄平仄仄平仄仄平平平平平仄平平仄仄仄平平仄
憶王孫		31	6.13.20.23.30			中平中仄仄平平中仄平平中仄平中仄平平中仄平仄平平中仄平平中仄平
憶王孫		31	6.13/20/23/30			平平仄仄仄平平平仄平平仄仄平平仄仄平仄仄仄仄平平平仄平平平仄仄
憶王孫		54	6.13.26.33.40.53	20.47	9.23.36.50	平仄平平平仄仄平仄仄中平平仄仄平平仄仄平平仄仄仄平平仄平中中中平中仄平仄仄中平中仄中平中仄仄平平仄中仄平平仄
金字經		31	9.16.17.22/25/30	4		中仄平中仄仄平平仄平平仄平平中仄平平仄平中仄平平平仄仄平平仄平
金字經		32	9.16.17.22/25/31	4	28	平仄平平仄仄平平仄平平仄平平平仄平平仄平仄仄平平平仄仄仄仄平仄平
金字經		34	9/17/18.24/27/33	4	12.21.30	仄仄平仄仄仄平平仄平仄仄仄仄平平仄仄平仄平平平仄平平平仄仄平平平仄平
古調笑	調笑令	32	1.3.9/15.21/23.25.31			平仄平仄中中中平中仄中中中中中平中中中中仄平平仄平仄中中中平中仄
遐方怨		32	5.16.23.31	2.9.28		平仄仄仄平平仄仄平平仄平平中平仄平仄平平仄仄平平仄平平仄仄仄平平
遐方怨		60	5.15.22.29.35.45.52.59	2.10.32.40		平仄仄仄平平仄中平中仄中平中仄平仄平中仄仄平平仄平平仄仄平平中中仄仄平平中仄平平仄中平中仄平仄平平仄仄平平中平平仄仄平平
後庭花破子		32	4.9.19.22.31	14.26		中中中中平中中中仄平中中平中仄平平中仄平仄平平中平中仄中平中仄平
後庭花破子		33	4.9.19.22.32	14.26	29	平平仄仄平平平仄仄平仄平平平仄平平仄仄平仄平平仄平平仄仄平仄平仄平
如夢令		33	5.11.22.24.26.32	16		中仄中平中仄中仄中平中仄中仄仄平平中仄中平中仄中仄中仄中仄中平中仄
如夢令		33	5.11.22.24.26.32	16		仄仄仄平平仄仄仄平平仄仄仄仄仄平平仄仄平平平仄平仄仄仄平仄仄平平仄
如夢令		33	5.11.22.24.26.32	16		平仄仄平平仄平仄平平仄仄平仄仄平平平仄仄平平仄平仄平仄仄仄仄平平仄
如夢令		33	5.11.22.26.32	16		仄仄平平平仄仄仄仄平仄仄平仄仄平平仄仄平平仄仄平平仄仄平仄平平平仄
如夢令		33	5.11.22.24.26.32	16		平平平仄仄平平平仄仄平平平仄仄平仄仄平仄仄平平平平平平仄仄仄仄平平
如夢令		66	5.11.22.24.26.32.38.44.55.57.59.65	16.49		中仄中平仄仄仄仄中平中仄中仄中平平中仄中平平仄平仄平仄中仄平平中仄中仄平平仄仄中仄平平平仄平仄仄平平中仄中平中仄平仄平仄中仄仄平中仄
訴衷情		33	1.3.6/9/12.14/17.22.24.29.32			平仄平仄平仄仄仄平平平仄仄平仄仄平平中仄仄平平平平中平平仄平仄平平
訴衷情		33	9/12.14/17.22.24.29.32	6		仄仄平平平仄仄仄平平平仄仄平仄仄平平平仄仄平平平平仄平平仄平仄平平
訴衷情		37	9/12.14/17.22.25.31.36	6	28	仄仄平平平仄仄仄平平平仄仄平仄仄平平平仄仄平平仄平平仄仄平平仄平仄平平仄平
訴衷情		41	6.11.17.22.27.30.37.40	14		平中中中仄中平中中仄中平平中仄仄平平中仄仄平平中仄仄平平仄平平中平中仄仄平平仄平平
訴衷情		41	6.11.17.22.27.30.40	14.37		平平平仄仄平平平平仄仄平平仄仄仄平平平仄仄平平仄仄仄平平仄平平平平仄仄平平仄仄平平
西溪子		33	5.11/17.20.26/29.32	14		仄仄平平平仄平仄仄平平仄仄平平平仄仄平仄仄平仄平平仄仄仄平平仄平平
西溪子		35	5.11/17.20.26/31.34	14		中仄中平平仄中仄中平平仄仄平平平中仄中平仄中仄仄平平仄中仄仄平平仄平平
天仙子		34	6.13.23.26.33	20		中仄中平平仄仄中中平中平中仄中平中仄仄平平中中仄中中仄中仄中平平仄仄
天仙子		34	6.13.26.33	20.23		仄仄平平平仄仄平仄平平平仄仄仄平平仄仄平平仄平平平仄仄平仄平平平仄仄
天仙子		34	6.13/20.26.33	23		平仄平平平仄仄平仄平平平仄仄平平仄仄仄平平平仄仄仄平平平仄平平平仄平
天仙子		34	6.13.20.26.33	23		中仄平平中仄平中中中中仄中平中平中仄仄平平中仄仄仄平平中仄中平中仄平
天仙子		68	6.13.23.26.33.40.47.57.60.67	20.54		中仄中平平仄仄中仄中平平仄仄中平中仄仄平平中中仄平中仄中仄中平平仄仄中仄中平平仄仄中仄中平平仄仄中平中仄仄平平中中仄平中仄中仄中平平仄仄
風流子		34	5.11.23.25.27.33	14.17		平仄中平中仄中仄中平中仄平仄仄仄平平中仄中平中仄平仄平仄中仄中平平仄
風流子		110	12.29.42.58.72.82.99.109	4.17.21.25.37.46.50.54.63.78.87.91.95.105	7.32.66	中中中中仄平中仄中仄仄平平仄中中中中仄平平仄中平中仄中中中平中中中中平平仄仄中仄仄平平中仄仄平中平中仄中平中仄中仄平平中平平中仄平中仄平中中仄平平中仄中平平仄中仄平平仄中中中中中平中仄中平中中中仄平平中仄中平中仄中仄平平
風流子		110	12.29.42.58.72.82.99.109	4.17.21.25.37.46.50.54.63.68.78.87.91.95.105	7.32	平平仄仄仄平平仄仄仄仄平平仄平仄仄平仄平平仄仄平平仄平仄平平仄平仄仄平平仄仄平仄仄平平平仄仄平仄平平仄仄平平仄平仄平平仄平平平仄平平仄仄仄仄仄平平平仄仄平平仄平仄平平仄平平仄仄平平仄仄仄平仄仄平仄平平平仄仄平平仄平仄平平
風流子		111	12.29.42.59.73.83.100.110	4.17.21.25.37.47.51.55.64.69.79.88.92.96.106	7.32	平平平仄仄平平仄平仄仄平平仄仄仄平平仄平平仄仄平平仄平仄平平平仄仄仄平平仄仄平仄仄平平仄仄仄平平仄平仄仄仄平仄仄平仄平平平平平平仄仄平平平仄仄仄平平平仄仄平平仄平仄平平仄平平平仄平平仄仄平平仄仄平仄平平平仄仄平平仄平仄平平
風流子		110	12.29.42.58.72.82.99.109	4.17.21.25.37.46.50.54.63.66.69.78.87.91.95.105	7.32	仄仄仄平仄平平仄平仄仄平平仄平平平仄仄平平仄仄平平仄仄仄平平仄平平仄平平仄仄仄仄仄平平仄仄仄平平平平仄仄平平仄仄仄平平平平平仄仄平中仄中仄仄仄平平仄仄平平平仄平仄平平仄平平仄仄仄平平仄仄平平仄平仄平平平仄仄平平仄平仄平平
風流子		109	4.12.29.41.57.71.81.98.108	17.21.25.36.45.49.53.62.75.86.90.94.102	7.65	平仄仄平平平平仄仄仄仄平平仄平仄仄平仄平平仄仄平平仄平仄平平仄仄仄平平仄仄仄仄仄平平仄仄仄平仄平平仄仄平平仄平仄平平平平平平仄平平仄平仄仄仄平平仄仄仄平中平中仄平平仄仄平仄仄平平仄仄仄平平仄平仄平平平仄平平仄平平仄平平
風流子		109	4.12.29.41.57.71.81.98.108	17.21.25.36.45.49.53.62.77.86.90.94.104	7.65	平仄仄平平平平仄仄仄仄平平仄平仄仄平仄平平仄仄平仄仄仄仄平平仄仄仄平平仄仄平仄仄平平平仄仄平仄平平仄仄平平仄平仄平平平平平平仄平平仄平仄仄仄平平中仄仄平中仄中仄平平仄仄仄平平平平平仄仄平平仄平仄平平平仄仄平平仄中仄平平
風流子		108	4.12.28.41.57.62.71.81.97.107	16.20.24.36.45.49.53.67.77.85.89.93.103	7.31	平仄仄平平平平仄仄仄仄平平仄仄仄平仄平平仄平平平仄仄仄平平仄平仄仄平平仄仄仄仄仄平平平仄仄平仄平平仄仄平仄仄仄仄平平平仄仄平平平平仄平仄仄仄平平平仄仄平平仄平仄平平仄仄平平平平仄仄仄平平仄仄仄平平仄仄仄平平仄平仄平平
風流子		111	4.12.29.42.58.63.73.83.100.110	17.21.25.37.46.50.54.68.79.88.92.96.106	7.32	平仄仄平平平平仄仄仄仄平平仄平仄仄平仄平平仄仄平平仄平仄平平仄平仄仄平平仄仄平仄仄平平仄仄仄平仄平平仄仄平平仄平仄平平中中中中平平平中中仄仄仄仄平平仄仄仄平平仄仄仄平平仄仄仄平平平平仄仄仄平平仄平仄平平仄仄仄平平仄平仄平平
歸自謠		34	2.9.16.23.26.33			平仄仄中仄中平平仄仄中平中仄平平仄中中中中平中仄平中仄中平仄仄平平仄
飲馬歌		34	4.9.14.19.30.33	22.25		平平平仄仄仄仄平平仄仄平平平仄仄平平平仄仄平平仄仄平仄仄平平仄仄平仄
定西番		35	5/11.14/20/25/31/34	8		仄仄仄平平仄平仄仄仄平平仄平平平仄仄平平仄仄平平仄平平仄仄平平仄仄平平
定西番		35	5/11.14/20/25.34	8.31		仄仄仄平平仄平仄仄仄平平仄平平平仄仄平平仄仄平平仄平平仄仄平平仄仄平平
