# CMUdict letter-to-sound rules, derived by Viterbi-EM alignment.
# BUILT BY quality/g2p.py --train.  Training split = 105744 CMUdict headwords; 11749 held out (fraction 0.1, seed 20260811).
# Doctrine 13: these rules come from CMUdict, so any accuracy quoted for them is on the HELD-OUT split and nowhere else.
#kind	level	key	phones	count
L	2	auv	OW V	3
L	2	ava	V AH	37
L	2	ave	EY V	98
L	2	avi	EY V	50
L	2	avo	AH V	16
L	2	avs	V Z	3
L	2	avu	AH V	3
L	2	avy	EY V	4
L	2	aw$	AO	31
L	2	awa	AH W	54
L	2	awb	R AO	6
L	2	awd	R AO	6
L	2	awe	AO	5
L	2	awh	AE W	5
L	2	awi	V IH	4
L	2	awl	R AO	25
L	2	awn	AO N	31
L	2	awo	W ER	3
L	2	awr	R AH	3
L	2	aws	AO Z	20
L	2	awt	AO TH	5
L	2	awy	L AO	3
L	2	axa	K S	6
L	2	axe	AE K	16
L	2	axt	K S	11
L	2	ay$	EY	178
L	2	aya	AY AH	26
L	2	ayc	EY K	4
L	2	ayd	EY D	17
L	2	aye	EY ER	36
L	2	ayf	L EY	4
L	2	ayh	EY	6
L	2	ayi	EY	12
L	2	ayl	EY L	22
L	2	aym	EY M	31
L	2	ayn	EY N	29
L	2	ayo	EY OW	10
L	2	ayp	EY P	6
L	2	ayr	EY R	6
L	2	ayt	EY T	14
L	2	ayw	EY W	5
L	2	az$	AE Z	13
L	2	azd	AE Z	3
L	2	aze	EY Z	33
L	2	azi	EY Z	22
L	2	azl	Z AH	3
L	2	azo	AH Z	9
L	2	azu	AH Z	6
L	2	bbi	B	34
L	2	bbl	AH L	39
L	2	bbo	AH N	6
L	2	bbr	R IY	6
L	2	bbs	Z	21
L	2	bbu	UH	4
L	2	bc$	S IY	7
L	2	bco	K AA	6
L	2	bdi	D AH	3
L	2	bfo	N	4
L	2	bha	AA	4
L	2	bho	HH AO	3
L	2	bjo	Y AO	5
L	2	bke	K	4
L	2	ble	AH L	412
L	2	bma	AH N	9
L	2	bme	M ER	3
L	2	bon		97
L	2	bpo	N AH	4
L	2	btr	T R	5
L	2	bub	AH	7
L	2	bud	AH	25
L	2	bue	Y UW	17
L	2	bui	IH L	13
L	2	buk	Y UW	3
L	2	bum	AH	23
L	2	but	AH	60
L	2	bvi	V IY	5
L	2	by$	IY	160
L	2	byl	AH L	5
L	2	byp	AY P	5
L	2	byr	R AH	3
L	2	bys	S IH	5
L	2	cc$	S IY	3
L	2	cca	K AH	24
L	2	cce	S EH	41
L	2	cci	CH IY	70
L	2	ccl		9
L	2	cco	K OW	48
L	2	ccr	AH K	9
L	2	cd$	D IY	3
L	2	cda	AE N	4
L	2	cfa	F AE	7
L	2	cfe	EH R	3
L	2	cga	AH G	6
L	2	cgi	IH N	6
L	2	cgo	G AW	4
L	2	cgr	AH G	8
L	2	cgu	AH G	13
L	2	ch$	CH	125
L	2	cha	CH AE	81
L	2	chb	CH B	6
L	2	chc	IY CH	3
L	2	chd	CH	3
L	2	che	CH ER	116
L	2	chi	CH IH	89
L	2	chm	SH	43
L	2	cho	SH OW	28
L	2	chs	K S	17
L	2	cht	IH K	29
L	2	chu	CH AH	26
L	2	chy	AA R	5
L	2	ckd	AE K	6
L	2	ckh	K HH	10
L	2	ckl	AH L	55
L	2	ckn	N ER	17
L	2	ckr	K	6
L	2	cku	IH K	4
L	2	ckw	K W	12
L	2	cky	K	11
L	2	cma	AE N	5
L	2	con		505
L	2	cpa	AA R	3
L	2	cph	AH K	5
L	2	cq$	ER K	3
L	2	cqu	AH K	19
L	2	cto	T ER	47
L	2	ctr	T R	37
L	2	ctu	K CH	32
L	2	cu$	Y UW	5
L	2	cua	Y AH	5
L	2	cub	Y UW	7
L	2	cuc	K UW	7
L	2	cud	K AH	9
L	2	cue	Y UW	16
L	2	cui	K AH	5
L	2	cum	K AH	37
L	2	cuo	K W	3
L	2	cup	K AH	9
L	2	cur	K ER	54
L	2	cut	K AH	41
L	2	cuu	K	4
L	2	cwh	AH K	5
L	2	cy$	S IY	118
L	2	cya	AH N	3
L	2	cyb	S AY	6
L	2	cyc	S AY	18
L	2	cyn	N IH	4
L	2	cyp	S AY	4
L	2	cyt	S AY	6
L	2	cz$	IH CH	35
L	2	cza	CH AE	12
L	2	cze	CH EH	15
L	2	czk	CH	3
L	2	czy	CH IH	6
L	2	dbo	B OW	5
L	2	dco	K OW	7
L	2	dde	AH N	40
L	2	ddl	AH L	45
L	2	ddr	R EH	6
L	2	dfi	F IY	7
L	2	dfl	F	3
L	2	dfo	F ER	10
L	2	dfu	D F	5
L	2	dga	G EY	5
L	2	dge	IH JH	112
L	2	dgi	AH JH	7
L	2	dgm	JH M	9
L	2	dgo	G UH	5
L	2	dgy	AH JH	3
L	2	dha	AA R	5
L	2	dhu	HH	7
L	2	djo	ER N	3
L	2	dju	AH S	11
L	2	dke	K IY	7
L	2	dki	K IH	6
L	2	dl$	AH L	12
L	2	dli	L	39
L	2	dlu	L	6
L	2	dma	AH N	50
L	2	dme	AH N	5
L	2	don		108
L	2	dpa	D P	3
L	2	dpo	D P	6
L	2	dtk		4
L	2	dua	UW AH	7
L	2	dub	AH	15
L	2	duc	AH K	50
L	2	dud	AH	9
L	2	due	UW	8
L	2	dum	AH	38
L	2	dur	UH R	23
L	2	dut	AH	7
L	2	dvi	V AY	11
L	2	dvo	V AH	4
L	2	dwo	W ER	15
L	2	dy$	IY	180
L	2	dya	AY AH	4
L	2	dyc	AY S	3
L	2	dye	AY	3
L	2	dyi	IY	4
L	2	dyk	AY	5
L	2	dyl	L AH	3
L	2	dym	IY M	3
L	2	dyn	AY N	35
L	2	dys	IH S	12
L	2	dz$	Z	4
L	2	dzi	N S	8
L	2	ebb	EH	14
L	2	ebe	B ER	48
L	2	ebl	EH B	11
L	2	ebn	EH B	3
L	2	ebo	B OW	17
L	2	ebs	B Z	6
L	2	ebt	D EH	3
L	2	ec$	EH K	44
L	2	ecd	AE N	4
L	2	ece	IY S	28
L	2	eci	IH S	16
L	2	ecl	IH K	18
L	2	eco	R EH	37
L	2	ecs	EH K	4
L	2	ecu	EH K	21
L	2	ecy	R IY	8
L	2	ecz	AH N	4
L	2	eda	D AH	56
L	2	edg	EH JH	15
L	2	edh	R EH	4
L	2	edi	EH D	75
L	2	edm	EH D	23
L	2	edp	R EH	3
L	2	edu	EH JH	19
L	2	edw	EH D	6
L	2	efa	IH F	17
L	2	efe	F ER	29
L	2	efl	IH F	12
L	2	efn	F	3
L	2	eft	EH F	18
L	2	eg$	G	11
L	2	ega	G AH	55
L	2	egb	EH G	4
L	2	egg	EH	25
L	2	egh	EH G	5
L	2	egi	R EH	18
L	2	egl	EH G	20
L	2	egn	EH G	15
L	2	egs	G Z	7
L	2	egu	R EH	23
L	2	egy	IH JH	3
L	2	eh$	EH	7
L	2	eha	IH HH	13
L	2	ehb	R EH	3
L	2	ehl	EH L	23
L	2	ehm	EH	6
L	2	ehr	EH R	35
L	2	ehu	HH Y	6
L	2	eja	Y AH	5
L	2	eje	R IH	8
L	2	ejo	AH JH	7
L	2	eju	R IY	4
L	2	ek$	EH K	162
L	2	ekb	EH K	3
L	2	ekk	EH	3
L	2	ekl	IY K	3
L	2	eko	EH K	4
L	2	ekt	EH K	3
L	2	ela	L AH	98
L	2	ele	L	88
L	2	elf	EH L	22
L	2	eli	L	127
L	2	elk	L	20
L	2	eln	L N	6
L	2	elr	EH L	8
L	2	elt	L	72
L	2	elz	L	12
L	2	ema	AH N	111
L	2	emb	EH M	90
L	2	emc	EH M	7
L	2	eme	M AH	65
L	2	emi	EH M	60
L	2	eml	EH M	14
L	2	emm	EH	27
L	2	emn	EH M	9
L	2	emp	EH M	120
L	2	emr	M R	4
L	2	emu	IH M	12
L	2	eo$	IY OW	37
L	2	eon		39
L	2	eos	OW Z	5
L	2	epa	R IY	21
L	2	epc	EH P	4
L	2	epf	EH P	3
L	2	eph	EH F	11
L	2	epi	EH P	42
L	2	epl	IH P	12
L	2	epo	R IY	17
L	2	epu	R IY	15
L	2	epw	IY P	4
L	2	epy	IY P	3
L	2	equ	IY K	32
L	2	etb	AH T	4
L	2	etn	T N	5
L	2	eu$	R UW	5
L	2	eub	N UW	7
L	2	euc	Y UW	6
L	2	eud	Y UW	10
L	2	eue	UW ER	5
L	2	eug	Y UW	6
L	2	euh	N UW	4
L	2	euk	UW K	3
L	2	eul	Y UW	6
L	2	eum	N UW	6
L	2	eun	R IY	9
L	2	eup	Y UW	6
L	2	eur	Y UW	34
L	2	eut	N UW	17
L	2	euv	N UW	9
L	2	ev$	EH V	30
L	2	eva	IH V	42
L	2	eve	EH V	100
L	2	evi	EH V	47
L	2	evo	R EH	15
L	2	evr	EH V	6
L	2	ew$	Y UW	43
L	2	ewd	UW D	3
L	2	ewe	Y UW	21
L	2	ewf	N UW	5
L	2	ewh	N UW	4
L	2	ewi	UW IH	15
L	2	ewl	N UW	10
L	2	ewm	N UW	6
L	2	ewn	UW N	3
L	2	ewr	R IY	4
L	2	ews	N UW	49
L	2	exb	EH K	3
L	2	exe	EH K	22
L	2	exi	EH K	24
L	2	exo	EH K	11
L	2	eya	EY AH	3
L	2	eyb	IY B	3
L	2	eyd	HH EY	4
L	2	eyf	S EY	3
L	2	eyl	EY L	5
L	2	eym	N IY	7
L	2	eyn	EY N	10
L	2	eyo	EY OW	3
L	2	eyr	EH R	3
L	2	eys	IY Z	28
L	2	ez$	EH Z	116
L	2	eze	IY Z	13
L	2	ezi	Z IY	5
L	2	ezm	EH Z	3
L	2	ezz	EH Z	6
L	2	fco	F K	5
L	2	ffa	F AH	11
L	2	ffe	F ER	62
L	2	ffl	AH L	23
L	2	ffm	M	8
L	2	ffo	F ER	20
L	2	ffr	R AH	9
L	2	ffs	S	28
L	2	fft	F	3
L	2	ffu	Y	5
L	2	fgh	G AE	3
L	2	fki	IH N	3
L	2	fma	AH N	24
L	2	fon		26
L	2	fta	T AH	4
L	2	ftb	F T	3
L	2	fto	AH N	6
L	2	fu$		4
L	2	fue	EH N	7
L	2	fug	Y UW	10
L	2	fum	Y UW	13
L	2	fut	Y UW	6
L	2	fy$	F AY	47
L	2	gbi	B ER	6
L	2	gbo	B OW	3
L	2	gde	AH N	5
L	2	gdo	AH N	7
L	2	gfi	NG F	5
L	2	gfo	F ER	5
L	2	gg$	G	46
L	2	gga	G ER	13
L	2	gge	G	52
L	2	ggi	G	39
L	2	ggl	AH L	35
L	2	ggo	G AH	5
L	2	ggr	R AH	8
L	2	ggs	Z	17
L	2	ggy	G	19
L	2	ghe		23
L	2	ghf		5
L	2	ghi	G IY	5
L	2	ghl		10
L	2	ghm		7
L	2	ghn		7
L	2	gho	HH	9
L	2	ghr	AH N	3
L	2	ghs		10
L	2	ghu	AH HH	3
L	2	ghw		5
L	2	ghy		4
L	2	gma	AH N	47
L	2	gme	AH N	11
L	2	gmi	AY R	3
L	2	go$	G OW	68
L	2	gpi	P AY	4
L	2	gth	NG TH	6
L	2	gto	AH N	67
L	2	gu$		3
L	2	gua	AA R	28
L	2	gub		3
L	2	guc	G UW	4
L	2	gug	G L	6
L	2	gui	G W	21
L	2	gul	G Y	25
L	2	guo	Y UW	3
L	2	gup		5
L	2	gur	Y ER	21
L	2	gwa	G W	5
L	2	gwy	W IH	4
L	2	gy$	IY	89
L	2	gym	M N	7
L	2	gyn	N AH	5
L	2	gyp		4
L	2	gyr	R AH	5
L	2	hbe	B ER	8
L	2	hca		4
L	2	hcl		4
L	2	hco		10
L	2	hdi	D IY	3
L	2	hfi	IY L	13
L	2	hfo	F ER	10
L	2	hga	G EY	3
L	2	hhi	HH AY	5
L	2	hho	OW L	7
L	2	hke	K	12
L	2	hki	IH N	3
L	2	hl$		94
L	2	hlg	G R	3
L	2	hlm		23
L	2	hls		7
L	2	hma	AH N	129
L	2	hme	AH N	25
L	2	hmi	M	20
L	2	hon		152
L	2	htc	T	3
L	2	hte		45
L	2	hth	T	11
L	2	htm		10
L	2	htn	AH S	4
L	2	hto	AH N	14
L	2	hts		43
L	2	hu$		7
L	2	hua	UW AH	5
L	2	hub		26
L	2	hui	IH Z	6
L	2	hup		11
L	2	hvi	V IY	3
L	2	hwa	AO R	14
L	2	hwh	W AE	3
L	2	hwo	W ER	9
L	2	hy$	IY	109
L	2	hya	AH S	4
L	2	hyl	AH L	3
L	2	hym	AY M	6
L	2	hyp	P ER	17
L	2	hys	IH S	7
L	2	hyu	AH N	3
L	2	iba	B AH	21
L	2	ibe	B ER	68
L	2	ibl	AH B	56
L	2	ibo	B AH	7
L	2	ibs	R IH	3
L	2	ibu	R IH	16
L	2	iby	IH B	3
L	2	ica	IH K	238
L	2	ice	AY S	66
L	2	ici	IH S	64
L	2	icl	K AH	12
L	2	ico	IH K	38
L	2	ict	IH K	82
L	2	icu	IH K	26
L	2	icy	L AH	4
L	2	ida	D AH	60
L	2	idb	IH D	3
L	2	idi	IH D	38
L	2	ido	D OW	18
L	2	idt	IH	10
L	2	idu	V IH	8
L	2	if$	IY F	9
L	2	ifa	F AA	5
L	2	ife	F ER	31
L	2	iff	IH F	35
L	2	ifi	AH F	101
L	2	ifl	R AY	6
L	2	ifo	N AH	6
L	2	ifs	IH F	4
L	2	ift	IH F	45
L	2	ifu	IH F	8
L	2	ify	AH F	30
L	2	ig$	IH G	99
L	2	iga	IH G	56
L	2	igb	IH G	5
L	2	igf	IH G	3
L	2	igg	R IH	29
L	2	igi	JH AH	30
L	2	ign	IH G	43
L	2	igo	IH G	16
L	2	igs	G Z	12
L	2	igu	IH G	21
L	2	iha	HH AA	7
L	2	ihe	HH ER	5
L	2	ihi	AY AH	3
L	2	ihl	IH L	4
L	2	ihn	IH N	4
L	2	iho	HH UH	3
L	2	ik$	IH K	123
L	2	ike	AY K	85
L	2	ikk	N IH	4
L	2	ikl	K AH	4
L	2	iku	K UW	7
L	2	ila	L AH	53
L	2	ilc	L	17
L	2	ile	L	99
L	2	ilf	L	14
L	2	ilh	L	17
L	2	ili	L	90
L	2	ilk	L	26
L	2	ilm	L	30
L	2	iln	L	5
L	2	ilp	L	3
L	2	ilr	L	5
L	2	ilt	L	46
L	2	ima	M AH	63
L	2	imb	IH M	32
L	2	ime	AY M	70
L	2	imh	IH M	3
L	2	imi	IH M	66
L	2	iml	IH M	6
L	2	imm	IH M	79
L	2	imn	IH M	4
L	2	imo	M OW	26
L	2	imp	IH M	255
L	2	imr	IH M	3
L	2	imu	IH M	17
L	2	io$	IY OW	186
L	2	ioe	OW EH	4
L	2	ior	AO R	19
L	2	ios	OW S	14
L	2	iow	AY AH	3
L	2	ip$	IH P	81
L	2	ipa	AH P	20
L	2	ipb	P B	3
L	2	ipe	P	27
L	2	iph	IH F	11
L	2	ipi	P IY	10
L	2	ipl	IH P	17
L	2	ipo	P OW	6
L	2	ipr	S IH	8
L	2	ipt	R IH	23
L	2	ipu	N IH	7
L	2	iqu	IH K	20
L	2	ism	IH Z	144
L	2	isn	S	6
L	2	isr	S R	17
L	2	ito	T OW	35
L	2	itp	N IH	3
L	2	iu$	Y UW	3
L	2	iul	UW L	4
L	2	ium	IY AH	62
L	2	iuz	L IY	3
L	2	iv$	IY V	5
L	2	iva	V AH	44
L	2	ive	IH V	379
L	2	ivi	IH V	62
L	2	ivo	V AH	12
L	2	ivu	IH V	3
L	2	iwa	W AH	7
L	2	iwe	R IH	4
L	2	ixa	K S	7
L	2	ixt	K S	9
L	2	iyo	IY OW	3
L	2	iz$	IH Z	18
L	2	iza	AH Z	51
L	2	izm	Z M	3
L	2	izo	IH Z	3
L	2	izu	IY Z	3
L	2	izz	IH Z	17
L	2	jci		5
L	2	jda	D AH	4
L	2	jko	K AO	4
L	2	jon	AA N	10
L	2	ju$		4
L	2	jub		3
L	2	jul	L IY	10
L	2	jun	AH NG	17
L	2	jur	JH ER	9
L	2	juv	JH UW	4
L	2	jux	AH K	4
L	2	jy$	JH IY	3
L	2	kba	AO L	3
L	2	kbi	B AY	3
L	2	kfi	F IY	5
L	2	kfo	F ER	7
L	2	kha	HH AH	8
L	2	khu	K HH	4
L	2	kke	K	5
L	2	kma	AH N	72
L	2	kon		24
