# OpenSubtitles 2018 English word frequencies, 50,000 types, rank order.
#
# SOURCE  hermitdave/FrequencyWords content/2018/en/en_50k.txt
#         fetched 2026-08-11, md5 370a7a55f79605b25638e3e262d5f920 of the upstream file
# LICENCE MIT (LICENSE at the repo root, "Copyright (c) 2016 Hermit Dave")
#         over OpenSubtitles 2018 as distributed by OPUS.
#
# WHY IT IS HERE. It is the REGISTER replacement for wordfreq20k.txt, which is
# a 2006 web crawl (see that file's row in data/sources.tsv). Spoken English
# inverts the web list's pathology: `moon` outranks `yahoo` by 13.7x here,
# where the web list has `yahoo` outranking `moon` by 5.6x, and `weep`, `wept`
# and `mourn` exist at all -- the web list has none of the three, which in
# `lyric_harness.CandidateEngine` means not merely unranked but UNOFFERABLE.
#
# WHAT IT DOES NOT FIX. It is still a GLOBAL UNIGRAM RANK. Measured
# leave-one-author-out against what 69 held-out authors actually reached for,
# it blocks 21.4% of realised rhyme partners against the web list's 16.9% --
# real, and small beside the 63.2% the line-final CONDITIONAL reaches. The
# head of any unigram list is function words, and inside a rhyme field that is
# where the exclusion gets spent. quality/RESULTS_SONG_FREQUENCY.md.
#
# TOKENISATION. Upstream splits clitics, so `'s` and `'t` are types (ranks 6
# and 10). They are kept as they came rather than silently merged: a count is
# a coordinate of its tokenisation (doctrine 58/91) and the next person to
# measure this should see the same file the number came from.
#
# INDEPENDENT of every corpus in this repo -- contemporary film and television
# subtitles are not verse, are not sung, and are not any cell's labelled pool.
word	count	rank
any	767968	131
two	764564	132
even	744544	133
much	738599	134
doing	732145	135
sure	709390	136
thing	697528	137
these	683128	138
help	666286	139
first	656387	140
into	655747	141
anything	640206	142
still	639540	143
find	626520	144
life	624596	145
nothing	622415	146
sir	619500	147
day	617674	148
god	611924	149
work	611677	150
their	601171	151
uh	592651	152
again	590019	153
maybe	581087	154
must	580931	155
before	578606	156
other	577197	157
wait	574752	158
stop	574016	159
call	572997	160
after	572761	161
won	571621	162
talk	567036	163
away	564268	164
than	561014	165
thought	558542	166
home	556894	167
night	556318	168
put	552246	169
great	545768	170
those	528404	171
last	527395	172
better	520328	173
everything	519795	174
told	517951	175
mr.	515685	176
new	508486	177
things	503642	178
always	503417	179
keep	498392	180
long	496267	181
years	481860	182
leave	478282	183
does	478174	184
money	471643	185
around	471463	186
doesn	471037	187
name	455543	188
place	444863	189
ever	444088	190
feel	444014	191
guys	442241	192
father	437537	193
guy	435832	194
made	433900	195
old	431911	196
isn	429536	197
which	422483	198
big	417218	199
lot	411660	200
done	408760	201
hello	405534	202
nice	405497	203
believe	403874	204
girl	402557	205
someone	401162	206
fine	400530	207
thanks	395690	208
wanted	392510	209
kind	392242	210
coming	389949	211
house	388585	212
every	388520	213
ok	388338	214
through	388127	215
being	386528	216
course	381816	217
stay	378726	218
left	378587	219
dad	378540	220
enough	376973	221
happened	375703	222
came	374486	223
may	373526	224
mother	372846	225
wrong	370949	226
world	370620	227
bad	369996	228
might	367145	229
three	366626	230
today	366395	231
listen	365791	232
another	365421	233
understand	365210	234
hear	360665	235
remember	358291	236
ask	354323	237
own	352542	238
same	348167	239
show	347408	240
else	340756	241
kill	339509	242
talking	337629	243
found	337382	244
next	335573	245
getting	331186	246
care	330956	247
car	330261	248
looking	326550	249
son	325997	250
try	325748	251
woman	324673	252
went	321824	253
hi	320316	254
dead	317589	255
many	314850	256
mind	312927	257
wasn	312240	258
friend	308204	259
best	307071	260
mom	305139	261
hell	304275	262
morning	303550	263
trying	303288	264
boy	302508	265
together	302404	266
yourself	302013	267
job	298911	268
saw	297985	269
family	294543	270
real	294536	271
without	290509	272
baby	290496	273
room	290206	274
wouldn	288422	275
already	287837	276
move	283807	277
most	283006	278
seen	282420	279
live	281046	280
miss	280930	281
actually	279595	282
huh	274656	283
shit	273312	284
both	270720	285
heard	269851	286
once	269704	287
ready	267268	288
head	266844	289
called	264588	290
used	263566	291
idea	263097	292
knew	262988	293
hold	262367	294
happy	262141	295
door	261118	296
such	261104	297
fuck	260121	298
brother	259877	299
also	259803	300
pretty	259500	301
bit	258929	302
took	258808	303
haven	258463	304
yet	257947	305
men	257319	306
whole	257109	307
start	256417	308
use	256079	309
while	255970	310
since	254427	311
wife	254038	312
days	253171	313
guess	250320	314
tomorrow	248729	315
matter	247812	316
meet	247466	317
bring	247343	318
tonight	246514	319
everyone	246032	320
run	244200	321
wanna	243109	322
hard	242871	323
ah	242456	324
alone	240475	325
myself	240460	326
school	240176	327
gone	240082	328
um	238853	329
end	237387	330
saying	236600	331
phone	235246	332
play	233865	333
looks	233814	334
couldn	233368	335
fucking	232845	336
problem	232325	337
few	231375	338
friends	230464	339
gotta	230351	340
ago	229751	341
open	229669	342
anyone	228332	343
killed	228297	344
hope	226993	345
face	225482	346
until	225171	347
lost	222398	348
police	221380	349
excuse	219855	350
turn	218563	351
business	215855	352
case	215274	353
wants	215149	354
says	215090	355
true	214773	356
die	214062	357
heart	213914	358
soon	213279	359
each	211943	360
worry	211329	361
later	208878	362
year	208705	363
watch	207949	364
music	207205	365
hand	206247	366
having	206106	367
probably	202736	368
beautiful	200811	369
doctor	198424	370
sit	198149	371
eat	197654	372
thinking	195875	373
young	194810	374
second	193687	375
working	193172	376
water	193014	377
person	192652	378
part	192248	379
kids	192050	380
late	191989	381
stuff	190629	382
exactly	189513	383
under	189347	384
death	189000	385
minute	188958	386
pay	188822	387
crazy	188767	388
forget	188628	389
everybody	188532	390
kid	187858	391
change	186962	392
gave	186445	393
happen	186041	394
damn	184228	395
five	183626	396
drink	182580	397
far	182287	398
knows	181663	399
its	180594	400
whatever	180082	401
eyes	179260	402
shut	178378	403
aren	178286	404
hit	177770	405
taking	177667	406
easy	177337	407
times	176522	408
check	176507	409
hands	176291	410
minutes	175091	411
deal	174929	412
different	174657	413
means	174311	414
point	174205	415
inside	174081	416
makes	172281	417
asked	171740	418
somebody	171596	419
mine	170636	420
making	169037	421
body	168798	422
afraid	168774	423
sleep	168103	424
chance	167981	425
dear	167351	426
quite	166980	427
four	166957	428
anyway	166702	429
close	166677	430
ain	166551	431
party	166137	432
fun	165693	433
against	165033	434
word	164938	435
comes	164503	436
important	164386	437
set	164165	438
shall	164162	439
story	164040	440
number	163259	441
daughter	163071	442
least	162905	443
waiting	162571	444
hurt	161421	445
wish	160204	446
moment	159995	447
fight	159911	448
week	159444	449
husband	159394	450
girls	159061	451
rest	158976	452
married	157817	453
fire	157532	454
game	157501	455
nobody	157014	456
mr	156641	457
children	156181	458
side	155667	459
stand	155391	460
read	154667	461
though	154479	462
cut	154407	463
started	154345	464
sister	154095	465
supposed	153117	466
between	152520	467
child	151864	468
goes	151195	469
hours	151156	470
speak	150927	471
women	150803	472
behind	148469	473
almost	148405	474
truth	148389	475
blood	147913	476
able	147205	477
lady	147121	478
anymore	146903	479
playing	146615	480
gets	146064	481
shot	144772	482
reason	144399	483
trouble	143235	484
break	143107	485
war	142825	486
city	142573	487
walk	142055	488
town	141835	489
trust	141327	490
dr.	141231	491
met	141208	492
office	141140	493
question	140970	494
brought	140661	495
yours	140553	496
welcome	140327	497
high	140078	498
wow	139593	499
couple	138996	500
half	138527	501
died	138432	502
cool	138139	503
free	137598	504
either	137448	505
seems	136699	506
power	136611	507
whoa	136564	508
bye	136276	509
buy	136137	510
telling	136109	511
honey	135631	512
tried	135401	513
front	135341	514
team	134358	515
answer	134088	516
gun	133072	517
boys	132594	518
line	132433	519
send	131999	520
news	131599	521
stupid	131497	522
bed	131445	523
hurry	130182	524
full	129735	525
months	129732	526
save	129390	527
sometimes	128779	528
become	128716	529
along	128220	530
hate	128153	531
food	127657	532
outside	127251	533
light	126657	534
l	126518	535
needs	126398	536
dog	125769	537
country	125731	538
clear	125730	539
order	125446	540
em	125033	541
fact	124995	542
lord	124880	543
captain	124874	544
six	124087	545
hot	123994	546
funny	123924	547
black	123718	548
mrs.	123530	549
alive	122833	550
pick	122698	551
feeling	122065	552
living	121552	553
cause	121264	554
ahead	120295	555
lose	118712	556
king	118230	557
plan	118129	558
dinner	117970	559
sighs	117410	560
sort	117267	561
leaving	117050	562
shouldn	117029	563
running	116973	564
boss	116736	565
alright	116629	566
promise	115908	567
taken	115236	568
safe	114104	569
ma	114026	570
book	113963	571
sent	113959	572
white	112881	573
hour	112782	574
anybody	112582	575
small	112316	576
perfect	112229	577
'cause	112193	578
lives	110583	579
special	110344	580
parents	110206	581
s	110199	582
john	109966	583
himself	109748	584
perhaps	109240	585
sounds	109140	586
serious	108774	587
sick	108596	588
company	108073	589
ha	107974	590
scared	107906	591
uncle	107826	592
poor	107444	593
red	106589	594
past	106439	595
earth	106394	596
possible	106080	597
shoot	106067	598
touch	105846	599
sound	105298	600
top	105282	601
ass	105009	602
laughs	104913	603
cannot	103913	604
asking	102974	605
win	102956	606
glad	102848	607
control	102782	608
hmm	102607	609
human	102595	610
drive	102436	611
hair	101852	612
jack	101666	613
bitch	101302	614
luck	101228	615
murder	101133	616
happens	100847	617
air	100137	618
ten	100133	619
daddy	100005	620
finally	99904	621
chuckles	99607	622
fast	99084	623
cold	99032	624
seem	98575	625
laughing	98420	626
words	98242	627
hospital	98076	628
street	98007	629
hang	97778	630
dance	97339	631
meeting	97328	632
till	97044	633
others	96631	634
catch	96609	635
follow	96529	636
sense	96442	637
sex	96431	638
lie	95930	639
evening	95321	640
master	95131	641
known	95125	642
dream	95089	643
write	94964	644
million	94514	645
voice	94104	646
sweet	94057	647
rather	94057	648
felt	93826	649
sign	92512	650
lucky	92377	651
somewhere	92265	652
bet	91573	653
o	91243	654
jesus	91143	655
longer	91035	656
calling	90868	657
worked	90771	658
quiet	90552	659
looked	90441	660
less	90011	661
pull	89880	662
beat	89787	663
careful	89667	664
coffee	89650	665
return	89451	666
secret	89236	667
weeks	88925	668
weren	88427	669
date	88407	670
seeing	88192	671
fall	87762	672
given	87738	673
ooh	87683	674
fault	87420	675
straight	87378	676
takes	86959	677
song	86877	678
future	86832	679
gentlemen	86660	680
loved	86138	681
changed	86133	682
road	85751	683
calm	85638	684
wonderful	85617	685
mad	85366	686
turned	85279	687
drop	85186	688
ladies	85029	689
learn	84936	690
step	84882	691
absolutely	84856	692
early	84836	693
explain	84368	694
clean	84238	695
piece	84224	696
yesterday	83823	697
throw	83679	698
picture	83461	699
land	83422	700
feet	83295	701
wonder	82903	702
questions	82887	703
speaking	82769	704
worth	82559	705
darling	82240	706
dude	82190	707
giving	82085	708
president	81980	709
eye	81953	710
quick	81548	711
moving	81193	712
figure	81048	713
state	80818	714
strong	80501	715
sam	80423	716
none	80315	717
amazing	80267	718
ones	79546	719
works	79323	720
act	79020	721
needed	78920	722
weird	78317	723
law	78264	724
worried	78083	725
report	77824	726
goodbye	77514	727
missing	77326	728
choice	77197	729
happening	77052	730
chief	76951	731
wedding	76940	732
strange	76863	733
general	76816	734
pain	76799	735
'am	76751	736
kidding	76744	737
decided	76683	738
ya	76658	739
pass	76635	740
tired	76540	741
class	76489	742
officer	76015	743
kept	75930	744
wake	75776	745
worse	75595	746
busy	75557	747
eh	75178	748
mistake	74957	749
kiss	74790	750
court	74580	751
building	74492	752
finish	74299	753
during	74298	754
age	74262	755
ship	74224	756
caught	74060	757
marry	73938	758
meant	73929	759
sell	73802	760
dark	73770	761
watching	73700	762
system	73678	763
suppose	73465	764
evidence	73113	765
movie	73070	766
ride	73070	767
t	72881	768
completely	72777	769
mouth	72733	770
totally	72478	771
birthday	72140	772
tv	72054	773
forgive	71915	774
born	71906	775
imagine	71873	776
information	71840	777
instead	71571	778
definitely	71524	779
security	71503	780
certainly	71435	781
film	71407	782
month	71163	783
lying	71098	784
unless	70979	785
train	70974	786
seven	70968	787
wear	70955	788
clothes	70929	789
michael	70741	790
hotel	70659	791
christmas	70624	792
attack	70583	793
hasn	70449	794
round	70043	795
expect	69614	796
sing	69575	797
terrible	69499	798
george	69441	799
bag	69186	800
history	69119	801
blue	68839	802
near	68790	803
broke	68629	804
station	68571	805
seriously	68524	806
forever	68510	807
david	68505	808
frank	68472	809
except	68440	810
thinks	68354	811
message	68305	812
entire	68282	813
joe	68244	814
table	67702	815
talked	67666	816
across	67595	817
rock	67361	818
lovely	67236	819
handle	67089	820
middle	66734	821
buddy	66718	822
paid	66526	823
protect	66508	824
using	66503	825
floor	66456	826
ran	66177	827
swear	66157	828
spend	66119	829
situation	66029	830
ring	66018	831
anywhere	65981	832
dangerous	65974	833
bill	65959	834
york	65880	835
army	65795	836
lead	65756	837
bought	65752	838
finished	65659	839
fair	65474	840
sun	65448	841
letter	65448	842
fool	65432	843
attention	65421	844
club	65275	845
simple	65090	846
interesting	65082	847
space	64991	848
test	64969	849
box	64788	850
group	64761	851
single	64614	852
sitting	64521	853
marriage	64465	854
join	64456	855
fear	64352	856
d	64304	857
peace	64262	858
forgot	64169	859
force	63737	860
short	63714	861
normal	63676	862
charlie	63672	863
present	63307	864
enjoy	63294	865
mike	63219	866
crime	63084	867
horse	62923	868
ground	62860	869
american	62835	870
count	62763	871
area	62755	872
charge	62746	873
honor	62722	874
lunch	62582	875
miles	62523	876
radio	62502	877
idiot	62357	878
ball	62325	879
surprise	62170	880
paper	62166	881
key	62153	882
boat	62148	883
quickly	62072	884
gold	61935	885
bar	61927	886
fish	61813	887
mark	61805	888
tom	61785	889
wearing	61749	890
crying	61698	891
accident	61671	892
government	61646	893
eight	61400	894
fell	61371	895
cover	61052	896
certain	61050	897
interested	61029	898
deep	60938	899
star	60903	900
sea	60812	901
agree	60716	902
problems	60633	903
detective	60633	904
prison	60581	905
major	60560	906
stick	60548	907
offer	60444	908
difficult	60404	909
smart	60397	910
personal	60381	911
record	60360	912
stopped	60200	913
hide	60133	914
whether	59993	915
bank	59962	916
trip	59906	917
relax	59715	918
america	59703	919
public	59687	920
list	59557	921
afternoon	59466	922
brain	59464	923
fix	59349	924
bastard	59332	925
proud	59309	926
tea	59277	927
service	59277	928
screaming	59151	929
forward	59064	930
angry	58748	931
park	58713	932
soul	58677	933
fighting	58657	934
peter	58654	935
rich	58651	936
agent	58608	937
blow	58531	938
paul	58529	939
dress	58429	940
mary	58366	941
missed	58324	942
scene	58017	943
killing	57890	944
standing	57866	945
saved	57667	946
mm	57659	947
respect	57647	948
killer	57555	949
ice	57545	950
mess	57542	951
tough	57486	952
feels	57388	953
church	57254	954
sad	57179	955
cell	57033	956
drunk	56919	957
share	56854	958
camera	56757	959
mm-hmm	56720	960
within	56709	961
card	56659	962
fly	56595	963
ben	56502	964
girlfriend	56475	965
laugh	56460	966
smell	56399	967
broken	56391	968
mum	56281	969
honest	56234	970
often	55998	971
starting	55979	972
calls	55940	973
y	55842	974
spent	55836	975
third	55750	976
english	55677	977
visit	55638	978
mama	55372	979
judge	55336	980
window	55285	981
hungry	55259	982
dare	55131	983
relationship	55128	984
moved	55096	985
prove	55079	986
private	54978	987
wall	54813	988
seat	54615	989
i-i	54460	990
position	54449	991
lieutenant	54321	992
realize	54306	993
lt	54305	994
especially	54148	995
machine	54140	996
walking	54115	997
art	54096	998
pleasure	54085	999
bloody	54026	1000
college	53933	1001
french	53911	1002
involved	53718	1003
cry	53674	1004
became	53603	1005
lived	53550	1006
impossible	53527	1007
obviously	53527	1008
neither	53452	1009
accept	53291	1010
boyfriend	53124	1011
besides	53110	1012
queen	53006	1013
teacher	53004	1014
cops	52981	1015
sake	52827	1016
loves	52751	1017
carry	52734	1018
teach	52731	1019
apartment	52714	1020
upset	52565	1021
green	52557	1022
la	52546	1023
liked	52485	1024
cute	52240	1025
evil	52175	1026
professor	52026	1027
contact	51750	1028
joke	51728	1029
cop	51701	1030
huge	51581	1031
holy	51499	1032
store	51492	1033
jail	51429	1034
likes	51334	1035
lawyer	51332	1036
doubt	51287	1037
continue	51279	1038
appreciate	51258	1039
cat	51175	1040
shop	50976	1041
driving	50866	1042
congratulations	50847	1043
wrote	50800	1044
village	50792	1045
quit	50649	1046
field	50617	1047
james	50562	1048
wine	50522	1049
decision	50446	1050
south	50364	1051
sleeping	50357	1052
slow	50276	1053
laughter	50196	1054
island	50107	1055
glass	50103	1056
beginning	50069	1057
cash	49976	1058
dying	49963	1059
hundred	49823	1060
whose	49808	1061
difference	49743	1062
plane	49704	1063
push	49690	1064
continues	49684	1065
mmm	49655	1066
singing	49144	1067
eating	49119	1068
north	49107	1069
mrs	49087	1070
tree	49017	1071
madam	48931	1072
gift	48891	1073
truck	48807	1074
putting	48797	1075
bear	48674	1076
board	48666	1077
grab	48653	1078
beer	48641	1079
stuck	48497	1080
magic	48484	1081
support	48351	1082
rules	48345	1083
grunts	48253	1084
partner	48247	1085
reach	48221	1086
wind	48063	1087
colonel	48036	1088
max	47938	1089
immediately	47938	1090
seconds	47936	1091
thousand	47934	1092
gives	47900	1093
experience	47824	1094
cheers	47819	1095
victim	47739	1096
upon	47699	1097
computer	47672	1098
christ	47650	1099
planet	47564	1100
promised	47559	1101
bus	47534	1102
henry	47491	1103
dirty	47462	1104
search	47439	1105
staying	47241	1106
dreams	47210	1107
arrest	46994	1108
holding	46938	1109
suddenly	46833	1110
usually	46770	1111
lots	46570	1112
shoes	46490	1113
er	46383	1114
jump	46358	1115
rid	46242	1116
yo	46233	1117
knock	46228	1118
owe	46153	1119
harry	46028	1120
grow	46010	1121
worst	45845	1122
river	45834	1123
aunt	45834	1124
patient	45828	1125
kitchen	45812	1126
aah	45774	1127
fat	45737	1128
passed	45678	1129
m	45657	1130
final	45614	1131
summer	45611	1132
bob	45572	1133
listening	45564	1134
escape	45553	1135
everywhere	45430	1136
moon	45422	1137
arms	45390	1138
turns	45374	1139
address	45332	1140
ow	45251	1141
match	45223	1142
gasps	45214	1143
grand	45183	1144
yep	45096	1145
shh	44939	1146
nervous	44913	1147
de	44903	1148
choose	44853	1149
themselves	44832	1150
decide	44806	1151
mate	44782	1152
drinking	44770	1153
press	44624	1154
bother	44619	1155
foot	44588	1156
hadn	44545	1157
blame	44534	1158
crap	44529	1159
drugs	44516	1160
type	44489	1161
rings	44331	1162
mission	44289	1163
named	44264	1164
heaven	44231	1165
'ii	44152	1166
picked	44114	1167
paris	44110	1168
race	44089	1169
risk	44005	1170
books	43897	1171
further	43839	1172
danny	43801	1173
action	43798	1174
allowed	43797	1175
orders	43786	1176
learned	43716	1177
price	43671	1178
arrived	43640	1179
nick	43636	1180
otherwise	43596	1181
pictures	43550	1182
fit	43502	1183
smoke	43421	1184
favor	43370	1185
played	43357	1186
notice	43315	1187
awesome	43298	1188
smile	43295	1189
director	43294	1190
guard	43270	1191
begin	43130	1192
spot	43079	1193
surprised	43018	1194
innocent	42962	1195
narrator	42916	1196
herself	42884	1197
london	42880	1198
feelings	42843	1199
enemy	42799	1200
battle	42785	1201
ourselves	42731	1202
alex	42710	1203
dollars	42705	1204
allow	42649	1205
nine	42538	1206
gay	42536	1207
department	42487	1208
guilty	42459	1209
apart	42417	1210
earlier	42407	1211
duty	42329	1212
jim	42323	1213
suit	42315	1214
bell	42299	1215
west	42219	1216
legs	42152	1217
hero	42093	1218
destroy	42078	1219
stage	42074	1220
bunch	42064	1221
according	42026	1222
chicken	41996	1223
bigger	41873	1224
grunting	41866	1225
low	41837	1226
helping	41832	1227
admit	41817	1228
closed	41801	1229
names	41772	1230
witness	41753	1231
upstairs	41732	1232
arm	41726	1233
steal	41720	1234
jimmy	41706	1235
kick	41697	1236
twice	41693	1237
cross	41692	1238
ways	41675	1239
sergeant	41650	1240
indeed	41591	1241
gas	41535	1242
keeping	41371	1243
energy	41290	1244
pregnant	41290	1245
waste	41240	1246
helped	41235	1247
fired	41193	1248
favorite	41153	1249
tony	41145	1250
taste	41080	1251
locked	41079	1252
places	41041	1253
writing	41035	1254
adam	41028	1255
brothers	41025	1256
starts	41012	1257
prince	40914	1258
form	40833	1259
sold	40796	1260
silly	40758	1261
mention	40753	1262
build	40738	1263
throat	40719	1264
hole	40658	1265
figured	40590	1266
track	40578	1267
ringing	40518	1268
lock	40462	1269
leg	40449	1270
above	40388	1271
hiding	40387	1272
steve	40377	1273
seemed	40343	1274
breakfast	40285	1275
engine	40282	1276
written	40246	1277
complete	40210	1278
video	40195	1279
applause	40194	1280
however	40098	1281
pressure	40065	1282
fresh	40049	1283
weapon	40033	1284
sky	39986	1285
ms.	39904	1286
stole	39897	1287
study	39882	1288
burn	39874	1289
reading	39869	1290
crowd	39856	1291
treat	39803	1292
roll	39791	1293
double	39770	1294
spirit	39556	1295
danger	39518	1296
cost	39485	1297
empty	39482	1298
level	39476	1299
memory	39331	1300
itself	39330	1301
acting	39326	1302
interest	39252	1303
nose	39194	1304
plans	39142	1305
following	39136	1306
bathroom	39095	1307
built	39041	1308
closer	39022	1309
ray	38995	1310
sarah	38933	1311
band	38918	1312
groans	38867	1313
apparently	38705	1314
excited	38640	1315
richard	38625	1316
losing	38585	1317
animals	38518	1318
flight	38504	1319
nature	38496	1320
raise	38449	1321
pop	38419	1322
client	38407	1323
bomb	38395	1324
neck	38371	1325
suspect	38365	1326
warm	38355	1327
extra	38335	1328
bottle	38229	1329
van	38223	1330
heavy	38220	1331
mommy	38167	1332
dogs	38164	1333
wild	38162	1334
ridiculous	38121	1335
simply	38100	1336
lee	38047	1337
animal	38036	1338
showed	38007	1339
billy	37951	1340
shooting	37914	1341
keeps	37914	1342
camp	37907	1343
guns	37893	1344
medical	37844	1345
shame	37793	1346
hoping	37769	1347
whom	37735	1348
bird	37711	1349
majesty	37699	1350
flowers	37699	1351
famous	37634	1352
asleep	37535	1353
beauty	37515	1354
driver	37474	1355
keys	37443	1356
rain	37417	1357
awful	37405	1358
large	37373	1359
local	37344	1360
deserve	37283	1361
goddamn	37270	1362
stone	37203	1363
jane	37198	1364
grace	37180	1365
consider	37165	1366
weekend	37115	1367
wondering	37023	1368
lay	36984	1369
plenty	36941	1370
willing	36938	1371
pants	36916	1372
sweetheart	36907	1373
skin	36861	1374
excellent	36849	1375
asshole	36844	1376
beach	36841	1377
c	36830	1378
faith	36815	1379
beg	36807	1380
fuckin	36802	1381
responsible	36781	1382
military	36733	1383
cheering	36723	1384
opportunity	36711	1385
common	36698	1386
bottom	36680	1387
german	36610	1388
whoever	36535	1389
cook	36531	1390
walked	36528	1391
papers	36502	1392
justice	36481	1393
hall	36354	1394
commander	36345	1395
drug	36316	1396
main	36292	1397
knife	36197	1398
devil	36189	1399
necessary	36124	1400
although	36046	1401
princess	36046	1402
lights	36039	1403
flying	36023	1404
dick	35996	1405
rose	35942	1406
knowing	35876	1407
clearly	35837	1408
hat	35828	1409
agreed	35752	1410
johnny	35735	1411
corner	35734	1412
code	35711	1413
note	35701	1414
tommy	35690	1415
due	35669	1416
correct	35595	1417
apologize	35587	1418
language	35569	1419
stars	35549	1420
faster	35547	1421
cars	35472	1422
folks	35431	1423
bullshit	35397	1424
i.	35384	1425
fellow	35335	1426
several	35232	1427
grandma	35216	1428
shows	35209	1429
leader	35155	1430
leaves	35150	1431
restaurant	35126	1432
east	35109	1433
shouting	35108	1434
blind	35066	1435
ghost	35051	1436
cup	35016	1437
gotten	35001	1438
tight	34972	1439
conversation	34935	1440
tells	34873	1441
lies	34827	1442
nor	34821	1443
pulled	34816	1444
hanging	34808	1445
speed	34794	1446
stories	34792	1447
health	34788	1448
advice	34773	1449
held	34733	1450
uh-huh	34672	1451
murdered	34599	1452
beyond	34595	1453
rule	34517	1454
hardly	34482	1455
possibly	34442	1456
inspector	34442	1457
cousin	34395	1458
trial	34375	1459
emergency	34359	1460
ought	34342	1461
eddie	34314	1462
somehow	34291	1463
hearing	34211	1464
states	34128	1465
account	34088	1466
spoke	34035	1467
file	33969	1468
understood	33953	1469
angel	33922	1470
tape	33904	1471
milk	33863	1472
powerful	33854	1473
weapons	33779	1474
practice	33775	1475
manager	33775	1476
pardon	33755	1477
vote	33737	1478
jake	33704	1479
national	33697	1480
career	33682	1481
minister	33653	1482
super	33639	1483
taught	33613	1484
robert	33595	1485
biggest	33564	1486
plays	33550	1487
natural	33540	1488
dancing	33491	1489
copy	33489	1490
plus	33414	1491
martin	33293	1492
cake	33256	1493
freedom	33196	1494
among	33190	1495
breath	33176	1496
operation	33161	1497
chris	33139	1498
crew	33113	1499
challenge	33099	1500
market	33081	1501
meat	33050	1502
towards	33032	1503
